fips,adult_pop,female_pop,male_pop,median_age,population,pct_poverty,median_income,pct_highschool,pct_unemployed
48265,41519,26670,24834,48.1,51504,14.8,50461,86.6,4.4
48267,3595,2239,2184,50.5,4423,19.4,40118,83.1,3.6
48269,207,148,141,39.5,289,10.7,59142,80.6,3.1
48271,2926,1599,1991,43.6,3590,20,40612,67.2,6.8
48273,23997,15544,16146,28.1,31690,22.9,44106,77.4,6.6
48275,2780,1927,1879,39.5,3806,21.1,37586,80.1,2.9
48277,37904,25774,24017,40.1,49791,19.9,41887,84.5,4
48279,9580,6710,6565,36.6,13275,21.5,37846,74.2,2.8
48281,15967,10529,10231,42.2,20760,13.6,52637,88.6,4.6
48283,6044,3098,4515,30.7,7613,26.2,39926,63.7,3.9
48285,15143,10088,9721,43.8,19809,12.5,48975,83,2.1
48287,13275,8470,8585,41.8,17055,12.7,51768,82.3,3.6
48289,13364,8661,8638,45.1,17299,18,44891,84.5,4.1
48291,60866,41358,40346,36,81704,15.9,48592,76.2,4.7
48293,18081,11381,12087,39.5,23468,21.1,39382,78.9,5
48295,2548,1672,1815,35.6,3487,12.4,54180,80.1,3.7
48297,9633,5527,6529,41.6,12056,17.2,51953,79.2,1.5
48299,17178,10537,9825,56.5,20362,13.4,48135,86.5,3.5
48301,68,51,62,28.8,113,13.3,64179,74.6,0
48303,230117,153579,149558,30.8,303137,18.9,48587,85.1,3.5
